code,sector
002017,电子信息
002018,农药化肥
002019,生物制药
002020,生物制药
002021,纺织机械
002022,生物制药
002023,飞机制造
002024,商业百货
002025,电子器件
002026,机械行业
002027,电子信息
002028,发电设备
002029,服装鞋类
002030,生物制药
002031,汽车制造
002032,家电行业
002033,酒店旅游
002034,纺织行业
002035,家电行业
002036,服装鞋类
002037,化工行业
002038,生物制药
002039,电力行业
002040,交通运输
002041,农林牧渔
002042,纺织行业
002043,建筑建材
002044,服装鞋类
002045,电子器件
002046,机械行业
002047,建筑建材
002048,汽车制造
002049,电子器件
002050,机械行业
002051,建筑建材
002052,电子信息
002053,化工行业
002054,化工行业
002055,电子器件
002056,电子器件
002057,电子器件
002058,仪器仪表
002059,酒店旅游
002060,建筑建材
002061,化工行业
002062,建筑建材
002063,电子信息
002064,化纤行业
002065,电子信息
002066,建筑建材
002067,造纸行业
002068,化工行业
002069,农林牧渔
002070,纺织行业
002071,传媒娱乐
002072,纺织行业
002073,电子信息
002074,发电设备
002075,钢铁行业
002076,家电行业
002077,房地产
002078,造纸行业
002079,电子器件
002080,化纤行业
002081,建筑建材
002082,有色金属
002083,纺织行业
002084,家具行业
002085,汽车制造
002086,农林牧渔
002087,纺织行业
002088,其它行业
002089,电子信息
002090,电子信息
002091,物资外贸
002092,化工行业
002093,电子信息
002094,化工行业
002095,电子信息
002096,化工行业
002097,机械行业
002098,服装鞋类
002099,生物制药
002100,农林牧渔
002101,机械行业
002102,陶瓷行业
002104,电子器件
002106,电子器件
002107,生物制药
002108,塑料制品
002109,化工行业
002110,钢铁行业
002111,飞机制造
002112,发电设备
002113,农药化肥
002114,有色金属
002115,电子信息
002116,建筑建材
002117,印刷包装
002118,生物制药
002119,电子器件
002120,家具行业
002121,仪器仪表
002122,机械行业
002123,发电设备
002124,农林牧渔
002125,化工行业
002126,汽车制造
002127,纺织行业
002128,煤炭行业
002129,电子器件
002130,发电设备
002131,机械行业
002132,钢铁行业
002133,房地产
002134,电子器件
002135,建筑建材
002136,化工行业
002137,电子器件
002138,电子器件
002139,电子器件
002140,建筑建材
002141,电子器件
002142,金融行业
002143,传媒娱乐
002144,纺织行业
002145,化工行业
002146,房地产
002147,机械行业
002148,电子信息
002149,有色金属
002150,机械行业
002151,电子信息
002152,电子信息
002153,电子信息
002154,服装鞋类
002155,有色金属
002156,电子器件
002157,农林牧渔
002158,机械行业
002159,酒店旅游
002160,有色金属
002161,电子信息
002162,陶瓷行业
002163,建筑建材
002164,电器行业
002165,化工行业
002166,生物制药
002167,有色金属
002168,发电设备
002169,发电设备
002170,农药化肥
002171,有色金属
002172,化纤行业
002173,农林牧渔
002174,电子信息
002175,仪器仪表
002176,电器行业
002177,电子信息
002178,建筑建材
002179,电子器件
002180,电子信息
002181,传媒娱乐
002182,有色金属
002183,交通运输
002184,电子信息
002185,电子器件
002186,酒店旅游
002187,商业百货
002188,电子器件
002189,电子器件
002190,汽车制造
002191,印刷包装
002192,化工行业
002193,纺织行业
002194,电子信息
002195,电子信息
002196,纺织机械
002197,仪器仪表
002198,生物制药
002199,电子器件
002200,环保行业
002201,化工行业
002202,发电设备
002203,有色金属
002204,机械行业
002205,建筑建材
002206,化纤行业
002207,石油行业
002208,房地产
002209,机械行业
002210,交通运输
002211,化工行业
002212,发电设备
002213,汽车制造
002214,仪器仪表
002215,农药化肥
002216,食品行业
002217,化工行业
002218,电子器件
002219,生物制药
